nom_espece,ug,date_realisation,serie,numero_circuit,nom_circuit,nb,km,valide
Chevreuil,Mont Aigoual,2016-04-29,2,1,Vébron-Rousses-Bassurels,18,44,
Chevreuil,Mont Aigoual,2016-04-29,2,2,Gatuzières-Meyrueis,14,33.8,
Chevreuil,Mont Aigoual,2016-04-29,2,3,Meyrueis-Brèze et Béthuzon,45,34.3,
Chevreuil,Mont Aigoual,2017-04-26,1,2,Gatuzières-Meyrueis,6,33.8,
Chevreuil,Mont Aigoual,2017-04-26,1,3,Meyrueis-Brèze et Béthuzon,29,34.3,
Chevreuil,Mont Aigoual,2017-04-26,1,4,Aigoual sud,10,40.2,
Chevreuil,Mont Aigoual,2017-04-27,2,1,Vébron-Rousses-Bassurels,13,44,
Chevreuil,Mont Aigoual,2017-04-27,2,2,Gatuzières-Meyrueis,7,33.8,
Chevreuil,Mont Aigoual,2017-04-27,2,3,Meyrueis-Brèze et Béthuzon,37,34.3,
Chevreuil,Mont Aigoual,2017-04-27,2,4,Aigoual sud,19,40.2,
Chevreuil,Mont Aigoual,2017-05-09,3,1,Vébron-Rousses-Bassurels,24,44,
Chevreuil,Mont Aigoual,2017-05-09,3,2,Gatuzières-Meyrueis,11,33.8,
Chevreuil,Mont Aigoual,2017-05-09,3,3,Meyrueis-Brèze et Béthuzon,38,34.3,
Chevreuil,Mont Aigoual,2017-05-09,3,4,Aigoual sud,34,40.2,
Chevreuil,Mont Aigoual,2017-05-10,4,1,Vébron-Rousses-Bassurels,22,44,
Chevreuil,Mont Aigoual,2017-05-10,4,2,Gatuzières-Meyrueis,5,33.8,
Chevreuil,Mont Aigoual,2017-05-10,4,3,Meyrueis-Brèze et Béthuzon,20,34.3,
Chevreuil,Mont Aigoual,2017-05-10,4,4,Aigoual sud,16,40.2,
Chevreuil,Mont Aigoual,2018-04-26,1,1,Vébron-Rousses-Bassurels,11,44,
Chevreuil,Mont Aigoual,2018-04-26,1,2,Gatuzières-Meyrueis,6,33.8,
Chevreuil,Mont Aigoual,2018-04-26,1,3,Meyrueis-Brèze et Béthuzon,42,34.3,
Chevreuil,Mont Aigoual,2018-04-26,1,4,Aigoual sud,33,40.2,
Chevreuil,Mont Aigoual,2018-04-27,2,1,Vébron-Rousses-Bassurels,19,44,
Chevreuil,Mont Aigoual,2018-04-27,2,2,Gatuzières-Meyrueis,8,33.8,
Chevreuil,Mont Aigoual,2018-04-27,2,3,Meyrueis-Brèze et Béthuzon,37,34.3,
Chevreuil,Mont Aigoual,2018-04-27,2,4,Aigoual sud,19,40.2,
Chevreuil,Mont Aigoual,2019-04-17,1,1,Vébron-Rousses-Bassurels,23,44,
Chevreuil,Mont Aigoual,2019-04-17,1,2,Gatuzières-Meyrueis,12,33.8,
Chevreuil,Mont Aigoual,2019-04-17,1,3,Meyrueis-Brèze et Béthuzon,28,34.3,
Chevreuil,Mont Aigoual,2019-04-17,1,4,Aigoual sud,36,40.2,
Chevreuil,Mont Aigoual,2019-04-18,2,1,Vébron-Rousses-Bassurels,28,44,
Chevreuil,Mont Aigoual,2019-04-18,2,2,Gatuzières-Meyrueis,11,33.8,
Chevreuil,Mont Aigoual,2019-04-18,2,4,Aigoual sud,21,40.2,
Chevreuil,Mont Aigoual,2019-05-02,3,1,Vébron-Rousses-Bassurels,19,44,
Chevreuil,Mont Aigoual,2019-05-02,3,2,Gatuzières-Meyrueis,21,33.8,
Chevreuil,Mont Aigoual,2019-05-02,3,3,Meyrueis-Brèze et Béthuzon,9,34.3,
Chevreuil,Mont Aigoual,2019-05-02,3,4,Aigoual sud,27,40.2,
Chevreuil,Mont Aigoual,2019-05-03,4,1,Vébron-Rousses-Bassurels,15,44,
Chevreuil,Mont Aigoual,2019-05-03,4,2,Gatuzières-Meyrueis,9,33.8,
Chevreuil,Mont Aigoual,2019-05-03,4,3,Meyrueis-Brèze et Béthuzon,22,34.3,
Chevreuil,Mont Aigoual,2019-05-03,4,4,Aigoual sud,23,40.2,
Chevreuil,Mont Lozère,2017-05-02,1,1,ML nord,12,35.2,
Chevreuil,Mont Lozère,2017-05-02,1,2,ML ouest,26,37.2,
Chevreuil,Mont Lozère,2017-05-02,1,3,Laubies,8,28.5,
Chevreuil,Mont Lozère,2017-05-02,1,4,ML sud,13,32.4,
Chevreuil,Mont Lozère,2017-05-03,2,1,ML nord,13,35.2,
Chevreuil,Mont Lozère,2017-05-03,2,2,ML ouest,32,37.2,
Chevreuil,Mont Lozère,2017-05-03,2,3,Laubies,16,28.5,
Chevreuil,Mont Lozère,2017-05-03,2,4,ML sud,22,32.4,
Chevreuil,Mont Lozère,2017-05-16,3,1,ML nord,21,35.2,
Chevreuil,Mont Lozère,2017-05-16,3,2,ML ouest,23,37.2,
Chevreuil,Mont Lozère,2017-05-16,3,3,Laubies,9,28.5,
Chevreuil,Mont Lozère,2017-05-16,3,4,ML sud,12,32.4,
Chevreuil,Mont Lozère,2017-05-17,4,1,ML nord,14,35.2,
Chevreuil,Mont Lozère,2017-05-17,4,2,ML ouest,17,37.2,
Chevreuil,Mont Lozère,2017-05-17,4,3,Laubies,8,28.5,
Chevreuil,Mont Lozère,2017-05-17,4,4,ML sud,8,32.4,
Chevreuil,Mont Lozère,2018-05-02,1,1,ML nord,10,35.2,
Chevreuil,Mont Lozère,2018-05-02,1,2,ML ouest,12,37.2,
